date,amount,description,category,type,payment_method,installments,monthly_payment
2024-11-06,170.42,Electricity bill,Utilities,expense,cash,0,0.0
2023-11-30,151.24,Web hosting,Utilities,expense,debit_card,0,0.0
2024-11-28,1.0,Arena event entry,Entertainment,expense,debit_card,0,0.0
2024-04-23,250.16,Panamericana supplies,Shopping,expense,credit_card,2,125.08
2023-01-10,39.56,Dominos pizza,Food,expense,debit_card,0,0.0
2023-10-12,30.74,Local bakery breakfast,Food,expense,debit_card,0,0.0
2023-11-11,1.0,Academic seminar,Education,expense,debit_card,0,0.0
2024-05-12,1.82,Concert ticket,Entertainment,expense,debit_card,0,0.0
2023-05-13,24.61,Parking garage fee,Transportation,expense,cash,0,0.0
2023-10-22,1.0,Freelance project,Income,income,cash,0,0.0
2024-06-08,198.94,Bluetooth earphones,Shopping,expense,debit_card,0,0.0
2024-09-13,53.93,Spotify Premium,Entertainment,expense,credit_card,18,3.0
2024-08-11,219.96,Annual domain payment,Utilities,expense,credit_card,1,219.96
2024-12-23,756.02,Freelance project,Income,income,debit_card,0,0.0
2023-10-22,1.0,Electricity bill,Utilities,expense,credit_card,3,0.33
2024-01-18,10.04,Andres DC food,Food,expense,debit_card,0,0.0
2023-06-29,150.52,Cable TV package,Utilities,expense,credit_card,9,16.72
2024-02-05,191.74,Decathlon gear,Shopping,expense,debit_card,0,0.0
2023-01-05,1.0,Freelance project,Income,income,credit_card,9,0.11
2024-06-09,1.0,Cable TV package,Utilities,expense,debit_card,0,0.0
2024-08-13,1.0,BestBuy electronics,Shopping,expense,credit_card,12,0.08
2023-10-05,3.64,KFC bucket,Food,expense,debit_card,0,0.0
2024-04-23,1.0,Local bakery breakfast,Food,expense,debit_card,0,0.0
2024-02-23,1.0,Freelance project,Income,income,credit_card,12,0.08
2023-09-28,2.38,Aldi grocery,Food,expense,debit_card,0,0.0
2023-02-04,4.9,Chicken takeout,Food,expense,cash,0,0.0
2024-05-08,39.16,Rappi delivery,Food,expense,debit_card,0,0.0
2024-10-01,143.6,Xiaomi phone,Shopping,expense,credit_card,36,3.99
2023-10-04,76.28,Mobile phone plan,Utilities,expense,credit_card,6,12.71
2023-09-21,21.59,Home internet service,Utilities,expense,debit_card,0,0.0
2023-03-26,11.99,Oma coffee,Food,expense,debit_card,0,0.0
2023-07-08,2658.86,Bonus payment,Income,income,debit_card,0,0.0
2023-10-09,30.1,Fuel tank refill,Transportation,expense,credit_card,36,0.84
2023-03-18,39.36,Taxi city center,Transportation,expense,credit_card,2,19.68
2023-12-22,6537.61,Upwork payment,Income,income,debit_card,0,0.0
2023-03-10,13.48,Arena event entry,Entertainment,expense,debit_card,0,0.0
2023-12-05,1.0,Severance payment,Income,income,cash,0,0.0
2024-06-22,2964.63,Severance payment,Income,income,credit_card,1,2964.63
2023-07-03,82.58,Nike sneakers,Shopping,expense,debit_card,0,0.0
2023-12-03,32.17,KFC bucket,Food,expense,debit_card,0,0.0
2023-05-15,75.11,Bluetooth earphones,Shopping,expense,debit_card,0,0.0
2024-10-30,1.0,Starbucks latte,Food,expense,credit_card,3,0.33
2023-08-15,7.65,Chicken takeout,Food,expense,credit_card,2,3.83
2024-12-30,1.0,Physiotherapy session,Health,expense,credit_card,12,0.08
2023-01-16,83.46,Pharmacy medicine,Health,expense,debit_card,0,0.0
2023-08-20,27.59,Dentist appointment,Health,expense,debit_card,0,0.0
2023-02-27,18.06,D1 grocery,Food,expense,debit_card,0,0.0
2024-02-18,1.0,Zara pants,Shopping,expense,credit_card,9,0.11
2024-06-18,85.23,Physiotherapy session,Health,expense,debit_card,0,0.0
2023-03-02,67.43,Skin care cream,Health,expense,credit_card,24,2.81
2024-11-26,48.29,UberEats order,Food,expense,debit_card,0,0.0
2024-08-27,1.0,Water bill,Utilities,expense,debit_card,0,0.0
2024-05-08,16.17,InDriver ride,Transportation,expense,cash,0,0.0
2023-03-21,1.0,Chicken takeout,Food,expense,debit_card,0,0.0
2024-12-05,1.0,McDonalds combo,Food,expense,debit_card,0,0.0
2023-05-11,1.0,Chicken takeout,Food,expense,credit_card,9,0.11
2023-02-16,2.31,D1 grocery,Food,expense,debit_card,0,0.0
2023-11-24,1377.84,Payroll deposit,Income,income,debit_card,0,0.0
2023-03-11,1.0,BestBuy electronics,Shopping,expense,debit_card,0,0.0
2023-08-16,4.13,Gas station refill,Transportation,expense,cash,0,0.0
2023-11-04,1.0,Xbox Game Pass,Entertainment,expense,credit_card,3,0.33
2024-05-28,1.0,Gas station refill,Transportation,expense,cash,0,0.0
2024-05-17,1.0,Walmart groceries,Shopping,expense,credit_card,2,0.5
2023-03-14,125.45,Xiaomi phone,Shopping,expense,debit_card,0,0.0
2023-10-02,260.25,Annual domain payment,Utilities,expense,cash,0,0.0
2023-11-30,12.54,Fuel tank refill,Transportation,expense,debit_card,0,0.0
2023-12-12,1.0,Tax refund,Income,income,cash,0,0.0
2024-01-26,1.0,Target shopping,Shopping,expense,debit_card,0,0.0
2024-10-05,32.74,UberEats order,Food,expense,debit_card,0,0.0
2023-06-10,103.07,Severance payment,Income,income,debit_card,0,0.0
2023-07-21,3873.0,Freelance project,Income,income,debit_card,0,0.0
2024-07-12,3.83,Spotify Premium,Entertainment,expense,credit_card,36,0.11
2024-05-15,13.4,Lift ride,Transportation,expense,debit_card,0,0.0
2024-01-23,69.83,Decathlon gear,Shopping,expense,debit_card,0,0.0
2024-03-23,12.47,Car wash service,Transportation,expense,credit_card,3,4.16
2024-08-17,30.85,Fresh market fruits,Food,expense,debit_card,0,0.0
2024-10-07,1.0,Bodytech monthly fee,Health,expense,cash,0,0.0
2024-03-23,35.56,Xbox Game Pass,Entertainment,expense,debit_card,0,0.0
2023-01-23,1.0,McD meal,Food,expense,credit_card,12,0.08
2023-08-16,1.0,Disney Plus subscription,Entertainment,expense,debit_card,0,0.0
2023-02-24,78.37,Dominos pizza,Food,expense,debit_card,0,0.0
2023-06-18,15.76,Thesis printing,Education,expense,debit_card,0,0.0
2024-01-22,60.58,Quick lunch menu,Food,expense,debit_card,0,0.0
2024-04-25,1.0,Parking garage fee,Transportation,expense,credit_card,36,0.03
2024-10-26,13.29,Oma coffee,Food,expense,credit_card,3,4.43
2023-06-10,220.45,Bonus payment,Income,income,credit_card,6,36.74
2023-01-21,1353.08,Bonus payment,Income,income,debit_card,0,0.0
2023-01-27,237.08,Course on Udemy,Education,expense,credit_card,6,39.51
2023-04-21,1.0,Taxi city center,Transportation,expense,credit_card,12,0.08
2023-06-05,19.4,Starbucks latte,Food,expense,credit_card,3,6.47
2023-09-06,1.0,Subway sandwich,Food,expense,debit_card,0,0.0
2024-02-16,1153.58,Upwork payment,Income,income,credit_card,1,1153.58
2024-09-18,5039.02,Upwork payment,Income,income,debit_card,0,0.0
2023-11-06,1.0,Skin care cream,Health,expense,cash,0,0.0
2024-11-23,1.0,Coursera program,Education,expense,credit_card,2,0.5
2023-02-26,1.0,Dominos pizza,Food,expense,debit_card,0,0.0
2024-07-21,22.43,Vitamin supplements,Health,expense,debit_card,0,0.0
2024-04-24,38.08,D1 grocery,Food,expense,debit_card,0,0.0
2023-04-10,1.0,Water bill,Utilities,expense,credit_card,3,0.33
2023-05-14,34.03,Local bakery breakfast,Food,expense,credit_card,9,3.78
2024-01-15,1.0,Taxi city center,Transportation,expense,credit_card,3,0.33
2023-04-23,12.31,Arena event entry,Entertainment,expense,debit_card,0,0.0
2024-01-09,97.12,Amazon package,Shopping,expense,credit_card,18,5.4
2024-09-14,30.43,DollarStore purchase,Shopping,expense,debit_card,0,0.0
2024-11-21,1.0,Class materials,Education,expense,credit_card,36,0.03
2023-07-20,31.56,McDonalds combo,Food,expense,credit_card,36,0.88
2024-02-01,2572.24,Payroll deposit,Income,income,credit_card,12,214.35
2023-08-01,185.05,Severance payment,Income,income,debit_card,0,0.0
2023-06-22,55.16,Lab tests,Health,expense,credit_card,18,3.06
2024-09-30,1.0,Starbucks latte,Food,expense,debit_card,0,0.0
2023-01-13,1.0,Upwork payment,Income,income,cash,0,0.0
2024-04-15,1.0,Oma coffee,Food,expense,debit_card,0,0.0
2024-06-18,1.0,Monthly salary,Income,income,credit_card,24,0.04
2024-08-31,30.75,Water bill,Utilities,expense,credit_card,6,5.12
2023-08-08,1.0,Quick lunch menu,Food,expense,debit_card,0,0.0
2024-12-11,1.0,Decathlon gear,Shopping,expense,credit_card,9,0.11
2024-02-19,4348.86,Marketplace item sale,Income,income,debit_card,0,0.0
2023-05-25,1.0,Upwork payment,Income,income,debit_card,0,0.0
2023-04-03,1.0,Subway sandwich,Food,expense,debit_card,0,0.0
2024-03-07,1.0,Lab tests,Health,expense,credit_card,3,0.33
2024-04-07,29.02,El Corral burger,Food,expense,cash,0,0.0
2023-10-21,17.6,McDonalds combo,Food,expense,debit_card,0,0.0
2023-11-10,1.0,Tax refund,Income,income,debit_card,0,0.0
2024-04-07,71.73,Decathlon gear,Shopping,expense,debit_card,0,0.0
2023-06-15,1.0,Netflix subscription,Entertainment,expense,credit_card,18,0.06
2024-05-28,1.0,HBO Max monthly,Entertainment,expense,cash,0,0.0
2023-06-21,1.0,Motorbike maintenance,Transportation,expense,cash,0,0.0
2024-04-19,30.67,Andres DC food,Food,expense,debit_card,0,0.0
2023-10-02,31.06,Movie theater tickets,Entertainment,expense,credit_card,12,2.59
2024-02-03,1.0,Nike sneakers,Shopping,expense,debit_card,0,0.0
2023-10-24,1.0,Lift ride,Transportation,expense,cash,0,0.0
2024-11-20,1.0,Duolingo Plus subscription,Education,expense,debit_card,0,0.0
2023-09-06,138.19,Academic seminar,Education,expense,debit_card,0,0.0
2024-01-16,2.3,Amazon Prime Video,Entertainment,expense,cash,0,0.0
2023-02-22,12.27,Xiaomi phone,Shopping,expense,debit_card,0,0.0
2024-09-29,1946.25,Freelance project,Income,income,credit_card,12,162.19
2023-11-16,4.63,McDonalds combo,Food,expense,credit_card,2,2.31
2024-11-21,53.13,Water bill,Utilities,expense,debit_card,0,0.0
2023-07-12,9.18,Local bakery breakfast,Food,expense,credit_card,6,1.53
2024-08-17,2305.3,Monthly salary,Income,income,credit_card,24,96.05
2024-11-28,8.24,Uber downtown ride,Transportation,expense,debit_card,0,0.0
2024-08-17,13.13,Motorbike maintenance,Transportation,expense,debit_card,0,0.0
2023-07-30,3.13,Burger King deal,Food,expense,debit_card,0,0.0
2024-03-29,3.71,Taxi city center,Transportation,expense,debit_card,0,0.0
2023-10-30,1.0,InDriver ride,Transportation,expense,cash,0,0.0
2023-12-22,15.81,Oma coffee,Food,expense,debit_card,0,0.0
2023-06-01,11.88,Oma coffee,Food,expense,debit_card,0,0.0
2023-10-27,6.56,DollarStore purchase,Shopping,expense,debit_card,0,0.0
2024-11-13,1.0,Academic seminar,Education,expense,credit_card,36,0.03
2024-12-30,10.15,Tostao coffee,Food,expense,debit_card,0,0.0
2024-08-08,4.55,Spotify Premium,Entertainment,expense,credit_card,18,0.25
2023-08-04,36.16,Grocery store purchase,Food,expense,credit_card,24,1.51
2023-12-01,26.93,Local bakery breakfast,Food,expense,debit_card,0,0.0
2024-07-27,120.45,Amazon package,Shopping,expense,credit_card,3,40.15
2023-02-25,1.0,Netflix subscription,Entertainment,expense,credit_card,36,0.03
2024-11-16,44.49,McDonalds combo,Food,expense,debit_card,0,0.0
2023-07-24,1.0,Tax refund,Income,income,debit_card,0,0.0
2024-06-05,1.0,Motorbike maintenance,Transportation,expense,debit_card,0,0.0
2024-02-29,4.46,Fiber internet service,Utilities,expense,debit_card,0,0.0
2023-05-21,10.42,McDonalds combo,Food,expense,debit_card,0,0.0
2024-01-14,1.0,Bodytech monthly fee,Health,expense,debit_card,0,0.0
2024-03-19,55.93,Medical consultation,Health,expense,debit_card,0,0.0
2023-08-14,50.94,Aldi grocery,Food,expense,debit_card,0,0.0
2024-01-26,14.2,Parking garage fee,Transportation,expense,debit_card,0,0.0
2023-01-15,204.15,Engineering textbook,Education,expense,debit_card,0,0.0
2023-06-02,42.66,Starbucks latte,Food,expense,debit_card,0,0.0
2023-02-04,1.0,Zara pants,Shopping,expense,debit_card,0,0.0
2023-08-04,13.11,Bus card recharge,Transportation,expense,debit_card,0,0.0
2023-11-14,13.99,Juan Valdez coffee,Food,expense,debit_card,0,0.0
2023-06-28,25.51,Chicken takeout,Food,expense,debit_card,0,0.0
2023-02-23,1.0,Bonus payment,Income,income,debit_card,0,0.0
2024-07-23,95.63,DollarStore purchase,Shopping,expense,debit_card,0,0.0
2023-12-14,13.3,Fresh market fruits,Food,expense,debit_card,0,0.0
2023-12-30,61.51,Disney Plus subscription,Entertainment,expense,debit_card,0,0.0
2023-04-24,1.0,Spotify Premium,Entertainment,expense,debit_card,0,0.0
2024-04-09,14.17,Local bakery breakfast,Food,expense,credit_card,9,1.57
2024-07-21,55.78,Office lunch,Food,expense,debit_card,0,0.0
2023-05-10,1.0,Bluetooth earphones,Shopping,expense,debit_card,0,0.0
2024-01-12,27.06,Chicken takeout,Food,expense,credit_card,36,0.75
2023-08-14,40.72,Local bakery breakfast,Food,expense,debit_card,0,0.0
2023-07-30,66.19,Andres DC food,Food,expense,debit_card,0,0.0
2023-04-21,212.75,Decathlon gear,Shopping,expense,debit_card,0,0.0
2024-04-01,6044.62,Monthly salary,Income,income,cash,0,0.0
2023-12-12,1.0,D1 grocery,Food,expense,credit_card,36,0.03
2024-03-05,3829.82,Tax refund,Income,income,debit_card,0,0.0
2023-01-11,7.72,El Corral burger,Food,expense,credit_card,2,3.86
2023-11-25,3091.64,Freelance project,Income,income,debit_card,0,0.0
2024-03-05,20.72,InDriver ride,Transportation,expense,debit_card,0,0.0
2023-07-24,1.0,Uber airport trip,Transportation,expense,debit_card,0,0.0
2024-02-12,19.98,Lift ride,Transportation,expense,debit_card,0,0.0
2024-09-23,63.8,Aldi grocery,Food,expense,credit_card,9,7.09
2024-01-05,39.66,El Corral burger,Food,expense,credit_card,36,1.1
2024-11-08,35.38,Nike sneakers,Shopping,expense,debit_card,0,0.0
2023-06-04,1.0,Dentist appointment,Health,expense,credit_card,6,0.17
2023-09-16,7.09,Lift ride,Transportation,expense,debit_card,0,0.0
2023-05-23,1.0,Bonus payment,Income,income,debit_card,0,0.0
2023-01-23,6.04,Bodytech monthly fee,Health,expense,debit_card,0,0.0
2024-02-03,140.38,Fiber internet service,Utilities,expense,credit_card,9,15.6
2024-06-10,11.81,Bus card recharge,Transportation,expense,debit_card,0,0.0
2024-07-18,20.26,Dentist appointment,Health,expense,credit_card,6,3.38
2024-10-06,1.0,Severance payment,Income,income,cash,0,0.0
2024-05-03,8.78,Grocery store purchase,Food,expense,credit_card,3,2.93
2023-06-02,1.0,Bluetooth earphones,Shopping,expense,credit_card,12,0.08
2024-04-18,1.0,Monthly salary,Income,income,debit_card,0,0.0
2023-12-20,8.59,McDonalds combo,Food,expense,credit_card,3,2.86
2023-09-30,11.09,H&M hoodie,Shopping,expense,credit_card,24,0.46
2024-04-08,86.13,Adidas running shoes,Shopping,expense,debit_card,0,0.0
2024-07-04,2.0,Movie theater tickets,Entertainment,expense,credit_card,18,0.11
2024-09-14,1.0,McD meal,Food,expense,cash,0,0.0
2023-10-08,1.0,Parking garage fee,Transportation,expense,debit_card,0,0.0
2024-08-31,35.06,Xbox Game Pass,Entertainment,expense,debit_card,0,0.0
2023-10-04,1.0,Amazon Prime Video,Entertainment,expense,credit_card,18,0.06
2024-06-02,1.0,Vehicle inspection fee,Transportation,expense,debit_card,0,0.0
2023-08-13,9.69,HBO Max monthly,Entertainment,expense,credit_card,9,1.08
2024-09-15,1.0,InDriver ride,Transportation,expense,debit_card,0,0.0
2023-08-21,29.84,Xiaomi phone,Shopping,expense,credit_card,9,3.32
2024-10-07,4.55,Parking garage fee,Transportation,expense,debit_card,0,0.0
